owner,family_true,family_id,cluster
gfli1_impedance_dataset|V0.9_P-1.0_Q0.0,GFLI,1,1
gfli2_impedance_dataset|V0.9_P-1.0_Q0.0,GFLI,1,1
gfli3_impedance_dataset|V0.9_P-1.0_Q0.0,GFLI,1,2
gfmi1_impedance_dataset|V0.9_P-1.0_Q0.0,GFMI,0,0
gfmi2_impedance_dataset|V0.9_P-1.0_Q0.0,GFMI,0,0
gfmi3_impedance_dataset|V0.9_P-1.0_Q0.0,GFMI,0,0
gfli1_impedance_dataset|V0.9_P-0.5_Q-0.5,GFLI,1,3
gfli2_impedance_dataset|V0.9_P-0.5_Q-0.5,GFLI,1,3
gfli3_impedance_dataset|V0.9_P-0.5_Q-0.5,GFLI,1,2
gfmi1_impedance_dataset|V0.9_P-0.5_Q-0.5,GFMI,0,0
gfmi2_impedance_dataset|V0.9_P-0.5_Q-0.5,GFMI,0,0
gfmi3_impedance_dataset|V0.9_P-0.5_Q-0.5,GFMI,0,0
gfli1_impedance_dataset|V0.9_P-0.5_Q0.0,GFLI,1,1
gfli2_impedance_dataset|V0.9_P-0.5_Q0.0,GFLI,1,1
gfli3_impedance_dataset|V0.9_P-0.5_Q0.0,GFLI,1,2
gfmi1_impedance_dataset|V0.9_P-0.5_Q0.0,GFMI,0,0
gfmi2_impedance_dataset|V0.9_P-0.5_Q0.0,GFMI,0,0
gfmi3_impedance_dataset|V0.9_P-0.5_Q0.0,GFMI,0,0
gfli1_impedance_dataset|V0.9_P-0.5_Q0.5,GFLI,1,4
gfli2_impedance_dataset|V0.9_P-0.5_Q0.5,GFLI,1,4
gfli3_impedance_dataset|V0.9_P-0.5_Q0.5,GFLI,1,2
gfmi1_impedance_dataset|V0.9_P-0.5_Q0.5,GFMI,0,0
gfmi2_impedance_dataset|V0.9_P-0.5_Q0.5,GFMI,0,0
gfmi3_impedance_dataset|V0.9_P-0.5_Q0.5,GFMI,0,0
gfli1_impedance_dataset|V0.9_P0.0_Q-1.0,GFLI,1,3
gfli2_impedance_dataset|V0.9_P0.0_Q-1.0,GFLI,1,3
gfli3_impedance_dataset|V0.9_P0.0_Q-1.0,GFLI,1,2
gfmi1_impedance_dataset|V0.9_P0.0_Q-1.0,GFMI,0,0
gfmi2_impedance_dataset|V0.9_P0.0_Q-1.0,GFMI,0,0
gfmi3_impedance_dataset|V0.9_P0.0_Q-1.0,GFMI,0,0
gfli1_impedance_dataset|V0.9_P0.0_Q-0.5,GFLI,1,3
gfli2_impedance_dataset|V0.9_P0.0_Q-0.5,GFLI,1,3
gfli3_impedance_dataset|V0.9_P0.0_Q-0.5,GFLI,1,2
gfmi1_impedance_dataset|V0.9_P0.0_Q-0.5,GFMI,0,0
gfmi2_impedance_dataset|V0.9_P0.0_Q-0.5,GFMI,0,0
gfmi3_impedance_dataset|V0.9_P0.0_Q-0.5,GFMI,0,0
gfli1_impedance_dataset|V0.9_P0.0_Q0.0,GFLI,1,1
gfli2_impedance_dataset|V0.9_P0.0_Q0.0,GFLI,1,1
gfli3_impedance_dataset|V0.9_P0.0_Q0.0,GFLI,1,2
gfmi1_impedance_dataset|V0.9_P0.0_Q0.0,GFMI,0,0
gfmi2_impedance_dataset|V0.9_P0.0_Q0.0,GFMI,0,0
gfmi3_impedance_dataset|V0.9_P0.0_Q0.0,GFMI,0,0
gfli1_impedance_dataset|V0.9_P0.0_Q0.5,GFLI,1,4
gfli2_impedance_dataset|V0.9_P0.0_Q0.5,GFLI,1,4
gfli3_impedance_dataset|V0.9_P0.0_Q0.5,GFLI,1,2
gfmi1_impedance_dataset|V0.9_P0.0_Q0.5,GFMI,0,0
gfmi2_impedance_dataset|V0.9_P0.0_Q0.5,GFMI,0,0
gfmi3_impedance_dataset|V0.9_P0.0_Q0.5,GFMI,0,0
gfli1_impedance_dataset|V0.9_P0.0_Q1.0,GFLI,1,4
gfli2_impedance_dataset|V0.9_P0.0_Q1.0,GFLI,1,4
gfli3_impedance_dataset|V0.9_P0.0_Q1.0,GFLI,1,2
gfmi1_impedance_dataset|V0.9_P0.0_Q1.0,GFMI,0,0
gfmi2_impedance_dataset|V0.9_P0.0_Q1.0,GFMI,0,0
gfmi3_impedance_dataset|V0.9_P0.0_Q1.0,GFMI,0,0
gfli1_impedance_dataset|V0.9_P0.5_Q-0.5,GFLI,1,3
gfli2_impedance_dataset|V0.9_P0.5_Q-0.5,GFLI,1,3
gfli3_impedance_dataset|V0.9_P0.5_Q-0.5,GFLI,1,2
gfmi1_impedance_dataset|V0.9_P0.5_Q-0.5,GFMI,0,0
gfmi2_impedance_dataset|V0.9_P0.5_Q-0.5,GFMI,0,0
gfmi3_impedance_dataset|V0.9_P0.5_Q-0.5,GFMI,0,0
gfli1_impedance_dataset|V0.9_P0.5_Q0.0,GFLI,1,1
gfli2_impedance_dataset|V0.9_P0.5_Q0.0,GFLI,1,1
gfli3_impedance_dataset|V0.9_P0.5_Q0.0,GFLI,1,2
gfmi1_impedance_dataset|V0.9_P0.5_Q0.0,GFMI,0,0
gfmi2_impedance_dataset|V0.9_P0.5_Q0.0,GFMI,0,0
gfmi3_impedance_dataset|V0.9_P0.5_Q0.0,GFMI,0,0
gfli1_impedance_dataset|V0.9_P0.5_Q0.5,GFLI,1,4
gfli2_impedance_dataset|V0.9_P0.5_Q0.5,GFLI,1,4
gfli3_impedance_dataset|V0.9_P0.5_Q0.5,GFLI,1,2
gfmi1_impedance_dataset|V0.9_P0.5_Q0.5,GFMI,0,0
gfmi2_impedance_dataset|V0.9_P0.5_Q0.5,GFMI,0,0
gfmi3_impedance_dataset|V0.9_P0.5_Q0.5,GFMI,0,0
gfli1_impedance_dataset|V0.9_P1.0_Q0.0,GFLI,1,1
gfli2_impedance_dataset|V0.9_P1.0_Q0.0,GFLI,1,1
gfli3_impedance_dataset|V0.9_P1.0_Q0.0,GFLI,1,2
gfmi1_impedance_dataset|V0.9_P1.0_Q0.0,GFMI,0,0
gfmi2_impedance_dataset|V0.9_P1.0_Q0.0,GFMI,0,0
gfmi3_impedance_dataset|V0.9_P1.0_Q0.0,GFMI,0,0
gfli1_impedance_dataset|V1.0_P-1.0_Q0.0,GFLI,1,1
gfli2_impedance_dataset|V1.0_P-1.0_Q0.0,GFLI,1,1
gfli3_impedance_dataset|V1.0_P-1.0_Q0.0,GFLI,1,2
gfmi1_impedance_dataset|V1.0_P-1.0_Q0.0,GFMI,0,0
gfmi2_impedance_dataset|V1.0_P-1.0_Q0.0,GFMI,0,0
gfmi3_impedance_dataset|V1.0_P-1.0_Q0.0,GFMI,0,0
gfli1_impedance_dataset|V1.0_P-0.5_Q-0.5,GFLI,1,3
gfli2_impedance_dataset|V1.0_P-0.5_Q-0.5,GFLI,1,3
gfli3_impedance_dataset|V1.0_P-0.5_Q-0.5,GFLI,1,2
gfmi1_impedance_dataset|V1.0_P-0.5_Q-0.5,GFMI,0,0
gfmi2_impedance_dataset|V1.0_P-0.5_Q-0.5,GFMI,0,0
gfmi3_impedance_dataset|V1.0_P-0.5_Q-0.5,GFMI,0,0
gfli1_impedance_dataset|V1.0_P-0.5_Q0.0,GFLI,1,1
gfli2_impedance_dataset|V1.0_P-0.5_Q0.0,GFLI,1,1
gfli3_impedance_dataset|V1.0_P-0.5_Q0.0,GFLI,1,2
gfmi1_impedance_dataset|V1.0_P-0.5_Q0.0,GFMI,0,0
gfmi2_impedance_dataset|V1.0_P-0.5_Q0.0,GFMI,0,0
gfmi3_impedance_dataset|V1.0_P-0.5_Q0.0,GFMI,0,0
gfli1_impedance_dataset|V1.0_P-0.5_Q0.5,GFLI,1,4
gfli2_impedance_dataset|V1.0_P-0.5_Q0.5,GFLI,1,4
gfli3_impedance_dataset|V1.0_P-0.5_Q0.5,GFLI,1,2
gfmi1_impedance_dataset|V1.0_P-0.5_Q0.5,GFMI,0,0
gfmi2_impedance_dataset|V1.0_P-0.5_Q0.5,GFMI,0,0
gfmi3_impedance_dataset|V1.0_P-0.5_Q0.5,GFMI,0,0
gfli1_impedance_dataset|V1.0_P0.0_Q-1.0,GFLI,1,3
gfli2_impedance_dataset|V1.0_P0.0_Q-1.0,GFLI,1,3
gfli3_impedance_dataset|V1.0_P0.0_Q-1.0,GFLI,1,2
gfmi1_impedance_dataset|V1.0_P0.0_Q-1.0,GFMI,0,0
gfmi2_impedance_dataset|V1.0_P0.0_Q-1.0,GFMI,0,0
gfmi3_impedance_dataset|V1.0_P0.0_Q-1.0,GFMI,0,0
gfli1_impedance_dataset|V1.0_P0.0_Q-0.5,GFLI,1,3
gfli2_impedance_dataset|V1.0_P0.0_Q-0.5,GFLI,1,3
gfli3_impedance_dataset|V1.0_P0.0_Q-0.5,GFLI,1,2
gfmi1_impedance_dataset|V1.0_P0.0_Q-0.5,GFMI,0,0
gfmi2_impedance_dataset|V1.0_P0.0_Q-0.5,GFMI,0,0
gfmi3_impedance_dataset|V1.0_P0.0_Q-0.5,GFMI,0,0
gfli1_impedance_dataset|V1.0_P0.0_Q0.0,GFLI,1,1
gfli2_impedance_dataset|V1.0_P0.0_Q0.0,GFLI,1,1
gfli3_impedance_dataset|V1.0_P0.0_Q0.0,GFLI,1,2
gfmi1_impedance_dataset|V1.0_P0.0_Q0.0,GFMI,0,0
gfmi2_impedance_dataset|V1.0_P0.0_Q0.0,GFMI,0,0
gfmi3_impedance_dataset|V1.0_P0.0_Q0.0,GFMI,0,0
gfli1_impedance_dataset|V1.0_P0.0_Q0.5,GFLI,1,4
gfli2_impedance_dataset|V1.0_P0.0_Q0.5,GFLI,1,4
gfli3_impedance_dataset|V1.0_P0.0_Q0.5,GFLI,1,2
gfmi1_impedance_dataset|V1.0_P0.0_Q0.5,GFMI,0,0
gfmi2_impedance_dataset|V1.0_P0.0_Q0.5,GFMI,0,0
gfmi3_impedance_dataset|V1.0_P0.0_Q0.5,GFMI,0,0
gfli1_impedance_dataset|V1.0_P0.0_Q1.0,GFLI,1,4
gfli2_impedance_dataset|V1.0_P0.0_Q1.0,GFLI,1,4
gfli3_impedance_dataset|V1.0_P0.0_Q1.0,GFLI,1,2
gfmi1_impedance_dataset|V1.0_P0.0_Q1.0,GFMI,0,0
gfmi2_impedance_dataset|V1.0_P0.0_Q1.0,GFMI,0,0
gfmi3_impedance_dataset|V1.0_P0.0_Q1.0,GFMI,0,0
gfli1_impedance_dataset|V1.0_P0.5_Q-0.5,GFLI,1,3
gfli2_impedance_dataset|V1.0_P0.5_Q-0.5,GFLI,1,3
gfli3_impedance_dataset|V1.0_P0.5_Q-0.5,GFLI,1,2
gfmi1_impedance_dataset|V1.0_P0.5_Q-0.5,GFMI,0,0
gfmi2_impedance_dataset|V1.0_P0.5_Q-0.5,GFMI,0,0
gfmi3_impedance_dataset|V1.0_P0.5_Q-0.5,GFMI,0,0
gfli1_impedance_dataset|V1.0_P0.5_Q0.0,GFLI,1,1
gfli2_impedance_dataset|V1.0_P0.5_Q0.0,GFLI,1,1
gfli3_impedance_dataset|V1.0_P0.5_Q0.0,GFLI,1,2
gfmi1_impedance_dataset|V1.0_P0.5_Q0.0,GFMI,0,0
gfmi2_impedance_dataset|V1.0_P0.5_Q0.0,GFMI,0,0
gfmi3_impedance_dataset|V1.0_P0.5_Q0.0,GFMI,0,0
gfli1_impedance_dataset|V1.0_P0.5_Q0.5,GFLI,1,4
gfli2_impedance_dataset|V1.0_P0.5_Q0.5,GFLI,1,4
gfli3_impedance_dataset|V1.0_P0.5_Q0.5,GFLI,1,2
gfmi1_impedance_dataset|V1.0_P0.5_Q0.5,GFMI,0,0
gfmi2_impedance_dataset|V1.0_P0.5_Q0.5,GFMI,0,0
gfmi3_impedance_dataset|V1.0_P0.5_Q0.5,GFMI,0,0
gfli1_impedance_dataset|V1.0_P1.0_Q0.0,GFLI,1,1
gfli2_impedance_dataset|V1.0_P1.0_Q0.0,GFLI,1,1
gfli3_impedance_dataset|V1.0_P1.0_Q0.0,GFLI,1,2
gfmi1_impedance_dataset|V1.0_P1.0_Q0.0,GFMI,0,0
gfmi2_impedance_dataset|V1.0_P1.0_Q0.0,GFMI,0,0
gfmi3_impedance_dataset|V1.0_P1.0_Q0.0,GFMI,0,0
gfli1_impedance_dataset|V1.1_P-1.0_Q0.0,GFLI,1,1
gfli2_impedance_dataset|V1.1_P-1.0_Q0.0,GFLI,1,1
gfli3_impedance_dataset|V1.1_P-1.0_Q0.0,GFLI,1,2
gfmi1_impedance_dataset|V1.1_P-1.0_Q0.0,GFMI,0,0
gfmi2_impedance_dataset|V1.1_P-1.0_Q0.0,GFMI,0,0
gfmi3_impedance_dataset|V1.1_P-1.0_Q0.0,GFMI,0,0
gfli1_impedance_dataset|V1.1_P-0.5_Q-0.5,GFLI,1,3
gfli2_impedance_dataset|V1.1_P-0.5_Q-0.5,GFLI,1,3
gfli3_impedance_dataset|V1.1_P-0.5_Q-0.5,GFLI,1,2
gfmi1_impedance_dataset|V1.1_P-0.5_Q-0.5,GFMI,0,0
gfmi2_impedance_dataset|V1.1_P-0.5_Q-0.5,GFMI,0,0
gfmi3_impedance_dataset|V1.1_P-0.5_Q-0.5,GFMI,0,0
gfli1_impedance_dataset|V1.1_P-0.5_Q0.0,GFLI,1,1
gfli2_impedance_dataset|V1.1_P-0.5_Q0.0,GFLI,1,1
gfli3_impedance_dataset|V1.1_P-0.5_Q0.0,GFLI,1,2
gfmi1_impedance_dataset|V1.1_P-0.5_Q0.0,GFMI,0,0
